43.80089, -79.12875, 
43.80086, -79.12869, 
43.80083, -79.12864, 
43.80079, -79.12851, 
43.80075, -79.12842, 
43.80073, -79.12837, 
43.80071, -79.12830, 
43.80066, -79.12818, 
43.80061, -79.12810, 
43.80055, -79.12803, 
43.80054, -79.12799, 
43.80016, -79.12702, 
43.80016, -79.12694, 
43.80015, -79.12686, 
43.80015, -79.12683, 
43.80031, -79.12558, 
43.80030, -79.12543, 
43.80026, -79.12532, 
43.80024, -79.12526, 
43.80021, -79.12522, 
43.80014, -79.12513, 
43.80012, -79.12510, 
43.80006, -79.12505, 
43.80002, -79.12498, 
43.79944, -79.12451, 
43.79937, -79.12448, 
43.79934, -79.12446, 
43.79926, -79.12441, 
43.79922, -79.12438, 
43.79912, -79.12431, 
43.79906, -79.12424, 
43.79902, -79.12422, 
43.79897, -79.12418, 
43.79890, -79.12414, 
43.79885, -79.12415, 
43.79879, -79.12416, 
43.79875, -79.12417, 
43.79790, -79.12436, 
43.79784, -79.12436, 
43.79770, -79.12427, 
43.79766, -79.12425, 
43.79761, -79.12421, 
43.79759, -79.12419, 
43.79756, -79.12414, 
43.79753, -79.12410, 
43.79749, -79.12405, 
43.79747, -79.12401, 
43.79745, -79.12397, 
43.79744, -79.12391, 
43.79742, -79.12386, 
43.79741, -79.12383, 
43.79739, -79.12375, 
43.79737, -79.12371, 
43.79736, -79.12364, 
43.79735, -79.12358, 
43.79734, -79.12350, 
43.79732, -79.12344, 
43.79731, -79.12334, 
43.79729, -79.12325, 
43.79728, -79.12316, 
43.79728, -79.12310, 
43.79730, -79.12306, 
43.79731, -79.12299, 
43.79734, -79.12292, 
43.79735, -79.12287, 
43.79738, -79.12282, 
43.79741, -79.12279, 
43.79744, -79.12274, 
43.79746, -79.12271, 
43.79748, -79.12265, 
43.79749, -79.12260, 
43.79751, -79.12253, 
43.79753, -79.12248, 
43.79755, -79.12242, 
43.79756, -79.12237, 
43.79757, -79.12232, 
43.79759, -79.12227, 
43.79760, -79.12224, 
43.79760, -79.12218, 
43.79761, -79.12214, 
43.79761, -79.12209, 
43.79762, -79.12204, 
43.79762, -79.12199, 
43.79762, -79.12195, 
43.79761, -79.12190, 
43.79760, -79.12183, 
43.79757, -79.12179, 
43.79754, -79.12174, 
43.79753, -79.12169, 
43.79751, -79.12166, 
43.79750, -79.12162, 
43.79748, -79.12156, 
43.79746, -79.12151, 
43.79745, -79.12151, 
43.79739, -79.12136, 
43.79739, -79.12131, 
43.79738, -79.12125, 
43.79737, -79.12124, 
43.79735, -79.12117, 
