# GsakName=Denmark
# This Country polygon is based on data © OpenStreetMap contributors
# The OpenStreetMap data is made available under the Open Database License, see http://www.openstreetmap.org/copyright
# This polygon file is made available under the same Open Database License: http://opendatacommons.org/licenses/odbl/1.0/.
# Bounding Box: 57.9524297,54.4516667,12.9058301,7.7153255
56.3202962,7.753189
56.3253762,7.753596
56.3332032,7.753376
56.3453842,7.752241
56.3491407,7.7512055
56.3572162,7.7497585
56.3635962,7.748965
56.3768487,7.748463
56.3901267,7.7495305
56.4032322,7.7491595
56.4190822,7.7500865
56.4311407,7.7511175
56.4402532,7.7526475
56.4568267,7.75446
56.4652607,7.7546595
56.4760457,7.7518495
56.4978232,7.748431
56.5048197,7.7479555
56.5150727,7.747749
56.5325567,7.7479765
56.5457982,7.7490415
56.5540152,7.7503815
56.5671902,7.753014
56.5726377,7.7545695
56.5869597,7.7573595
56.5931842,7.759176
56.6034317,7.762604
56.6115432,7.7657225
56.6256527,7.7721005
56.6345742,7.7755005
56.6474452,7.7812465
56.6620562,7.789803
56.6697182,7.7923585
56.6765047,7.7950575
56.6883612,7.8003035
56.7051922,7.8081985
56.7178262,7.8154845
56.7271357,7.8214285
56.7364117,7.82779
56.7572207,7.8428335
56.7922087,7.859583
56.7964842,7.8602385
56.8094987,7.862904
56.8225457,7.8671595
56.8393402,7.873277
56.8511602,7.878563
56.8561497,7.8803835
56.8690147,7.886199
56.8816442,7.8935435
56.8910137,7.899659
56.9041932,7.9074435
56.9110422,7.912147
56.9219692,7.919182
56.9331157,7.927337
56.9451082,7.93766
56.9548607,7.9472315
56.9588127,7.950539
56.9663282,7.9562375
56.9892527,7.9759615
56.9972257,7.9838585
57.0112062,7.996653
57.0209067,8.0051765
57.0349737,8.0196765
57.0435787,8.0282215
57.0502182,8.034228
57.0584977,8.0424755
57.0623372,8.046594
57.0734772,8.059773
57.0841222,8.07427
57.0942262,8.0900225
57.1037457,8.1069645
57.1085827,8.1167855
57.1116897,8.120391
57.1148722,8.123583
57.1260117,8.133589
57.1359002,8.1436035
57.1433797,8.1515435
57.1545087,8.164783
57.1634562,8.1768275
57.1686122,8.184145
57.1787022,8.199963
57.1882062,8.216971
57.1958292,8.232385
57.1981902,8.2374645
57.2023272,8.24712
57.2043887,8.248632
57.2163537,8.2591335
57.2293562,8.2724655
57.2404722,8.285772
57.2510902,8.300398
57.2611652,8.316283
57.2706537,8.333358
57.2795137,8.3515505
57.2887497,8.3733355
57.2962407,8.3935255
57.3029982,8.4145845
57.3089912,8.4364225
57.3141947,8.458944
57.3185862,8.482052
57.3221457,8.505646
57.3248582,8.529624
57.3267122,8.553881
57.3276992,8.578312
57.3278157,8.60281
57.3274287,8.6153355
57.3274962,8.6303315
57.3267357,8.6547895
57.3251067,8.679102
57.3226162,8.703162
57.3192752,8.726865
57.3170267,8.7393775
57.3190612,8.744378
57.3242582,8.758251
57.3281942,8.769351
57.3348887,8.7904955
57.3408172,8.812412
57.3459537,8.835005
57.3502762,8.8581765
57.3537662,8.8818255
57.3564077,8.9058505
57.3580862,8.927609
57.3587182,8.9376835
57.3596317,8.962145
57.3596052,8.9890845
57.3604752,9.0126415
57.3604577,9.043169
57.3596172,9.0676395
57.3579092,9.091954
57.3553407,9.1160065
57.3519232,9.1396925
57.3503737,9.1494645
57.3461202,9.1726795
